id,include_in_analysis,exclusion_crit,is_RR,support,support_binary,is_replication,,hypothesis_quote,result_quote,hyp_from_fulltext,result_from_fulltext,N,doi,title,authors,year,journal,abstract,keywords,coding_round,combining_coding_notes,uses_AS_coding,coded_by_MS,support_orig_MS,support_revised_MS,evaluation_certainty_MS,hypothesis_MS,hypothesis_introduction_MS,finding_MS,conclusion_MS,hypothesis_from_fulltext_MS,result_from_fulltext_MS,fulltext_available_MS,is_replication_old_MS,is_original_old_MS,time_spent_MS,individual_coding_notes_MS,coded_by_AS,support_orig_AS,support_revised_AS,evaluation_certainty_AS,hypothesis_AS,hypothesis_introduction_AS,finding_AS,conclusion_AS,hypothesis_from_fulltext_AS,result_from_fulltext_AS,fulltext_available_AS,is_replication_old_AS,is_original_old_AS,time_spent_AS,individual_coding_notes_AS,is_replication_new_combining_notes,is_replication_new_coded_by_AS,is_replication_new_AS,replic_notes_AS,is_replication_new_coded_by_DL,is_replication_new_DL,replic_notes_DL,is_replication_special_issue,hypothesis_intro_contains_replic
29,1,,1,partial support,1,0,,"""Hypothesis 1a (H1a):
 Overall video game use, action game use, and sports and racing game use will be positively associated with use of tobacco, alcohol, and other substances (risk).""","""Overall, results for tobacco use favor confirmation of H1c (inconsequential), except that action game play was associated with a decreased likelihood of never smoking e-cigarettes in a month (structural zero group) in partial support of H1a (risk). Action game play was associated with fewer days per month using chewing tobacco, partially consistent with H1b (incapacitation) but the predicted mechanism of H1b was not genre-specific."" AND ""Overall, results for alcohol use favor confirmation of H1c (inconsequential), except that sports and racing game play was associated with more days per month having five or more drinks in a sitting and a decreased likelihood of never riding with a drunk driver in a month in partial support of H1a (risk)."" AND ""Overall, results for other substance use favor confirmation of H1c (inconsequential), except that overall game play was associated with more days per month using illegal drugs and action game play was associated with more days per month sniffing inhalants, both in partial support of H1a (risk). Sports and racing game play was associated with fewer days sniffing inhalants, partially consistent with H1b (incapacitation), but the predicted mechanism of H1b was not genre-specific.""",1,1,553,10.1027/1864-1105/a000210,"Video Game Use as Risk Exposure, Protective Incapacitation, or Inconsequential Activity Among University Students: Comparing Approaches in a Unique Risk Environment","Ivory, Adrienne Holz; Ivory, James D; Lanier, Madison",2017,Journal of Media Psychology,"© 2017 Hogrefe Publishing.While there is extensive literature exploring the possible negative effects of video games, and many such studies using college student samples, there is little research on how video game use impacts the unique risk environment of college students. This study focuses on the unique risk aspects of the college and university environment with a preregistered survey comparing three competing models of video games' possible role (games as risk, incapacitation, or inconsequential) in predicting alcohol and substance use, sexual risk, interpersonal violence, bullying victimization, suicide, disordered eating, and exercise to provide a baseline measure of what role, if any, video games play in the college and university risk environment. Video game play was most consistently associated with outcomes related to suicide and interpersonal violence, and more sporadically associated with some other outcomes.","College, Risk, University health, Video games",1,12-11-2019 changed [hypothesis_intro] because the phrase from [hypothesis_intro_MS] did not occur in [hypothesis_quote],0,1,partial support,partial support,4,"""Hypothesis 1a (H1a):
 Overall video game use, action game use, and sports and racing game use will be positively associated with use of tobacco, alcohol, and other substances (risk).""",we propose … hypotheses,"""Overall, results for tobacco use favor confirmation of H1c (inconsequential), except that action game play was associated with a decreased likelihood of never smoking e-cigarettes in a month (structural zero group) in partial support of H1a (risk). Action game play was associated with fewer days per month using chewing tobacco, partially consistent with H1b (incapacitation) but the predicted mechanism of H1b was not genre-specific."" AND ""Overall, results for alcohol use favor confirmation of H1c (inconsequential), except that sports and racing game play was associated with more days per month having five or more drinks in a sitting and a decreased likelihood of never riding with a drunk driver in a month in partial support of H1a (risk)."" AND ""Overall, results for other substance use favor confirmation of H1c (inconsequential), except that overall game play was associated with more days per month using illegal drugs and action game play was associated with more days per month sniffing inhalants, both in partial support of H1a (risk). Sports and racing game play was associated with fewer days sniffing inhalants, partially consistent with H1b (incapacitation), but the predicted mechanism of H1b was not genre-specific.""",,1,1,1,0,1,0:08:00,,0,,,,,,,,,,,,,,,,1,0,,1,0,,0,0
38,1,,1,partial support,1,0,,"""The present study provides a critical test of the attentional dwelling hypothesis""","""Although we closely replicated these authors’ findings, the dwelling hypothesis passed the critical test in one of our two experiments""",0,0,24,10.5334/joc.48,Testing the Attentional Dwelling Hypothesis of Attentional Capture,"Lamy, Dominique; Darnell, Maia; Levi, Adva; Bublil, Carmel",2018,Journal of Cognition,"Researchers are strongly divided as to whether abrupt onsets capture spatial attention in a purely stimulus-driven fashion or contingent on their search goals. Recently, Gaspelin, Ruthruff and Lien (2016) offered a resolution of this debate by showing that whether spatial capture by abrupt onsets is observed in a spatial cueing search task critically depends on search difficulty. To account for these findings, they proposed an “attentional dwelling” hypothesis, according to which, following capture by a cue, attention dwells at the cued location until the object subsequently appearing at that location is identified as the
 target or rejected as a distractor. A critical prediction of this account is that the more similar to the target the distractor at the cued location, the longer attention should dwell at its location. Yet, Gaspelin et al. (2016) did not test this prediction because they manipulated overall search difficulty rather than the difficulty of rejecting a specific distractor. The present study provides a critical test of the attentional dwelling hypothesis, by also varying target-distractor similarity within a trial rather than only between trials. Although we closely replicated these authors’ findings, the dwelling hypothesis passed the critical test in one of our two experiments. To accommodate the entire pattern of results observed here, we tentatively suggest a priority-accumulation framework, according to which cue validity effects do not necessarily index spatial shifts of attention, but instead, how much the cue speeds the resolution of the competition between the target and distractors in the search display.","Attention, Visual search, Visual perception",1,,0,1,partial support,partial support,5,"""The present study provides a critical test of the attentional dwelling hypothesis""",the present study provides a critical test of,"""Although we closely replicated these authors’ findings, the dwelling hypothesis passed the critical test in one of our two experiments""",,0,0,1,1,1,0:05:00,replicates a different study but tests a specific aspect of the hypothesis of the original study,0,,,,,,,,,,,,,,,,1,0,"An edge case: A close replication of a previous study, but with a change that provides a proper test of a hypothesis that the authors claim the previous study could not test. Therefore I would not strictly count this as a replication.",1,0,,0,0
64,1,,1,partial support,1,0,,"""To test for this hypothetical association using a different method, and to address shortcomings in the previously-used methods, the current studies used a modified Affect Misattribution Procedure to examine whether exposure to heatrelated words increased the accessibility of aggressive cognitions.""","""Both a pilot study and a Registered Report showed that exposure to heat-related words increased the accessibility of aggressive cognitions. However, exposure to cold-related words also, and unexpectedly, increased the accessibility of aggressive cognitions. In addition, these results were only found for participants who reported that the primes influenced their Misattribution Task performance. Thus, although the current results found that exposure to heat-related stimuli caused theoretically predicted effects, the overall evidence is somewhat mixed as to whether this is due to a cognitive association between hot temperatures and aggression.""",0,0,69,10.1080/23743603.2018.1513309,Due diligence: revisiting the heat–aggression association hypothesis,"McCarthy, Randy J.",2018,Comprehensive Results in Social Psychology,"Previous research has asserted that individuals hold cognitive associations between the constructs of hot temperatures and aggression. However, subsequent studies have cast doubt on whether these previously used methods reliably produce effects that support this assertion. Thus, the evidence for the existence of a cognitive heat-aggression association is mixed. To test for this hypothetical association using a different method, and to address shortcomings in the previously-used methods, the current studies used a modified Affect Misattribution Procedure to examine whether exposure to heat-related words increased the accessibility of aggressive cognitions. Both a pilot study and a Registered Report showed that exposure to heat-related words increased the accessibility of aggressive cognitions. However, exposure to cold-related words also, and unexpectedly, increased the accessibility of aggressive cognitions. In addition, these results were only found for participants who reported that the primes influenced their Misattribution Task performance. Thus, although the current results found that exposure to heat-related stimuli caused theoretically predicted effects, the overall evidence is somewhat mixed as to whether this is due to a cognitive association between hot temperatures and aggression.","Replication, aggression, aggressive cognitions, hot temperatures",4,"This RR had already been coded in Round 1, but we later noticed that the manuscript in our sample was just the published protocol (DOI: 10.1080/23743603.2017.1378071) containing only piloting results and not the final results of the preregistered study. The final paper had been published before we started our study in 2018, so we coded it and replaced the protocol with it.",0,1,partial support,partial support,3,"""To test for this hypothetical association using a different method, and to address shortcomings in the previously-used methods, the current studies used a modified Affect Misattribution Procedure to examine whether exposure to heatrelated words increased the accessibility of aggressive cognitions.""",to examine whether,"""Both a pilot study and a Registered Report showed that exposure to heat-related words increased the accessibility of aggressive cognitions. However, exposure to cold-related words also, and unexpectedly, increased the accessibility of aggressive cognitions. In addition, these results were only found for participants who reported that the primes influenced their Misattribution Task performance.""","""Thus, although the current results found that exposure to heat-related stimuli caused theoretically predicted effects, the overall evidence is somewhat mixed as to whether this is due to a cognitive association between hot temperatures and aggression.""",0,0,1,1,1,0:27:00,"The study found the expected heat-aggression relation, but it also found a cold-aggression relation under certain conditions. As such the results are mixed. This paper could be coded as ""full support"", as it did find the hypothesized effect, but it could also be coded as ""partial support"", as the overall evidence is mixed. The paper replicates previous research using a new method, as such it was also coded as containing original research. After examining the full text, it appears that the evaluation based on the abstract is sufficient.",1,partial support,partial support,,"“To test for this hypothetical associa- tion using a different method, and to address shortcomings in the previously-used methods, the current studies used a modified Affect Misattribution Procedure to examine whether exposure to heat- related words increased the accessibility of aggressive cognitions.”",to examine whether,"“Both a pilot study and a Registered Report showed that exposure to heat-related words increased the accessibility of aggressive cognitions. However, exposure to cold-related words also, and unexpectedly, increased the accessibility of aggressive cognitions. In addition, these results were only found for participants who reported that the primes influenced their Misattribution Task performance.”","“Thus, although the current results found that exposure to heat-related stimuli caused theoretically predicted effects, the overall evidence is somewhat mixed as to whether this is due to a cognitive association between hot temperatures and aggression.”",0,0,1,1,1,0:04:45,,,1,0,"An edge case: The goal is to test a previously studied effect, but using different methods than previous studies. I coded it as *not* a direct replication — the goal is not to test if a specific piece of previous research holds up. Quote: “The current research’s emphasis on brief priming effects is a notable deviation from the approach taken by DeWall and Bushman (2009) and McCarthy (2014); however, my goal was to create the best possible conditions for observing evidence for a heat- aggression association and not to faithfully replicate those previously-used methods.“",0,,,0,0
76,1,,1,partial support,1,0,,"""In this registered report, we used a repeat detection task to test whether familiar faces are recognized better than unfamiliar faces across image changes."" AND ""We had three predictions: (i) detection would be better for familiar than unfamiliar faces""","""We obtained support for the first two predictions but not the last""",0,0,124,10.1098/rsos.170634,How robust is familiar face recognition? A repeat detection study of more than 1000 faces,"Chapman, Angus F.; Hawkins-Elder, Hannah; Susilo, Tirta",2018,Royal Society Open Science,"© 2018 The Authors. Recent theories suggest that familiar faces have a robust representation in memory because they have been encountered over a wide variety of contexts and image changes (e.g. lighting, viewpoint and expression). By contrast, unfamiliar faces are encountered only once, and so they do not benefit from such richness of experience and are represented based on image-specific details. In this registered report, we used a repeat detection task to test whether familiar faces are recognized better than unfamiliar faces across image changes. Participants viewed a stream of more than 1000 celebrity face images for 0.5 s each, any of which might be repeated at a later point and has to be detected. Some participants saw the same image at repeats, while others saw a different image of the same face. A post-experimental familiarity check allowed us to determine which celebrities were and were not familiar to each participant. We had three predictions: (i) detection would be better for familiar than unfamiliar faces, (ii) detection would be better across same rather than different images, and (iii) detection of familiar faces would be comparable across same and different images, but detection of unfamiliar faces would be poorer across different images. We obtained support for the first two predictions but not the last. Instead, we found that repeat detection of faces, regardless of familiarity, was poorer across different images. Our study suggests that the robustness of familiar face recognition may have limits, and that under some conditions, familiar face recognition can be just as influenced by image changes as unfamiliar face recognition.","Face memory, Face recognition, Familiarity, Repeat detection",0,"From RR pilot; [is replication, is original work and from full text] variables updated on 13-01-19",0,1,partial support,partial support,,"""In this registered report, we used a repeat detection task to test whether familiar faces are recognized better than unfamiliar faces across image changes."" AND ""We had three predictions: (i) detection would be better for familiar than unfamiliar faces""",to test whether [hypothesis],"""We obtained support for the first two predictions but not the last""",,0,0,1,0,1,0:07:26,"The link is the fully updated version of this document. The paper first gives a general hypothesis, and then gives three predictions that are phrased as if they are hypotheses themselves and are sub-hypotheses of the first hypothesis. Given that there was partial support for these sub-hypotheses the paper was graded as having partial support",1,support,,,We had three predictions: (i) detection would be better for familiar than unfamiliar faces,We had three predictions,,We obtained support for the first two predictions but not the last.,0,0,1,0,1,0:03:30,,,1,0,,1,0,,0,0
2,1,,1,no support,0,0,,"""In the current study, we tested the following hypotheses. First, mimicry of facial displays of happiness will occur for both ingroup and outgroup members, whereas we expect that the facial displays of the three negative emotions will be mimicked to a greater extent when displayed by ingroup members, which would lend support to the Emotion Mimicry in Context view. Second,...""","""In conclusion, the most important results of van der Schalk, Fischer, et al. (2011 van der Schalk, J., Hawk, S. T., Fischer, A., & Doosje, B. (2011). Moving faces, looking places: Validation of the Amsterdam Dynamic Facial Expression Set (ADFES). Emotion, 11, 907–920. doi:10.1037/a0023853
  [Crossref], [PubMed], [Web of Science ®], , [Google Scholar]
  ) were not replicated, that is, no support was found for more emotional mimicry of ingroup compared to outgroup faces. This means that the Contextual Model of Emotional Mimicry is not supported""",1,1,60,10.1080/23743603.2017.1298355,Mimicry of ingroup and outgroup emotional expressions,"Sachisthal, Maien S. M.; Sauter, Disa A.; Fischer, Agneta H.",2016,Comprehensive Results in Social Psychology,"© 2017, Published by Informa UK Limited, trading as Taylor & Francis Group. © 2017, © 2017 University of Amsterdam. Research into emotional mimicry has found that the extent to which we mimic others depends on group membership and the emotion at hand. Particularly, negative emotions are mimicked more when expressed by the perceiver’s ingroup. It is, however, still debated what process underlies emotional mimicry and whether previous findings of enhanced mimicry of negative emotions expressed by ingroup members are robust. We therefore first aimed to replicate Study 2 of van der Schalk, Fischer et al. (2011), specifically testing the finding of differences in emotional mimicry for models from different ethnic groups. Moreover, we extended the study by (1) including nonverbal emotional vocalizations and (2) including all negative emotions that were previously studied in a group mimicry context, that is, anger, fear, and sadness, in addition to happiness. We test two alternative explanations of emotional mimicry: whether emotional mimicry is a matched-motor response or whether emotional mimicry is influenced by meaning and context as proposed by the Emotion Mimicry in Context view. The results do not replicate the findings of van der Schalk, Fischer et al. (2011). For the facial and vocalization stimuli, we did not find emotional mimicry effects for anger, fear, or sadness, neither did we find effects of group membership. We only found emotional mimicry effects for happiness (action units 6 and 12) in the facial study. We discuss various explanations for the lack of findings, with the within-subjects design as most likely explanation.","emotion contagion, Emotional mimicry, emotional vocalizations, Matched-Motor Hypothesis",1,,0,1,no support,no support,4,"""In the current study, we tested the following hypotheses. First, mimicry of facial displays of happiness will occur for both ingroup and outgroup members, whereas we expect that the facial displays of the three negative emotions will be mimicked to a greater extent when displayed by ingroup members, which would lend support to the Emotion Mimicry in Context view. Second,...""",we tested the following hypotheses,,"""In conclusion, the most important results of van der Schalk, Fischer, et al. (2011 van der Schalk, J., Hawk, S. T., Fischer, A., & Doosje, B. (2011). Moving faces, looking places: Validation of the Amsterdam Dynamic Facial Expression Set (ADFES). Emotion, 11, 907–920. doi:10.1037/a0023853
  [Crossref], [PubMed], [Web of Science ®], , [Google Scholar]
  ) were not replicated, that is, no support was found for more emotional mimicry of ingroup compared to outgroup faces. This means that the Contextual Model of Emotional Mimicry is not supported""",1,1,1,1,1,0:06:00,The paper states that it is a replication and extension.,0,,,,,,,,,,,,,,,,1,0,,0,,,0,0
3,1,,1,no support,0,0,,"""Our first aim was to test whether alcohol affects saccade countermanding; i.e., whether saccadic SSRT is lengthened during acute intoxication""","""3.3. Alcohol does not increase saccadic SSRT
 No significant Drug x Time interaction was observed for mean saccadic SSRTs: Fig. 4B, Table 4 for statistical test outcomes, and both the pre-registered and post-hoc Bayesian tests substantially favoured the null hypothesis.""",1,1,40,10.1016/j.drugalcdep.2017.08.022,Impairment of manual but not saccadic response inhibition following acute alcohol intoxication*,"Campbell, Anne Eileen; Chambers, Christopher D.; Allen, Christopher P.G.; Hedge, Craig; Sumner, Petroc",2017,Drug and Alcohol Dependence,"© 2017 The Authors Background Alcohol impairs response inhibition; however, it remains contested whether such impairments affect a general inhibition system, or whether affected inhibition systems are embedded in, and specific to, each response modality. Further, alcohol-induced impairments have not been disambiguated between proactive and reactive inhibition mechanisms, and nor have the contributions of action-updating impairments to behavioural ‘inhibition’ deficits been investigated. Methods Forty Participants (25 female) completed both a manual and a saccadic stop-signal reaction time (SSRT) task before and after a 0.8 g/kg dose of alcohol and, on a separate day, before and after a placebo. Blocks in which participants were required to ignore the signal to stop or make an additional ‘dual' response were included to obtain measures of proactive inhibition as well as updating of attention and action. Results Alcohol increased manual but not saccadic SSRT. Proactive inhibition was weakly reduced by alcohol, but increases in the reaction times used to baseline this contrast prevent clear conclusions regarding response caution. Finally, alcohol also increased secondary dual response times of the dual task uniformly as a function of the delay between tasks, indicating an effect of alcohol on action-updating or execution. Conclusions The modality-specific effects of alcohol favour the theory that response inhibition systems are embedded within response modalities, rather than there existing a general inhibition system. Concerning alcohol, saccadic control appears relatively more immune to disruption than manual control, even though alcohol affects saccadic latency and velocity. Within the manual domain, alcohol affects multiple types of action updating, not just inhibition.","Alcohol, Inhibition, Manual, Saccade, SSRT",1,,0,1,no support,no support,3,"""Our first aim was to test whether alcohol affects saccade countermanding; i.e., whether saccadic SSRT is lengthened during acute intoxication""",our … aim was to test whether,"""3.3. Alcohol does not increase saccadic SSRT
 No significant Drug x Time interaction was observed for mean saccadic SSRTs: Fig. 4B, Table 4 for statistical test outcomes, and both the pre-registered and post-hoc Bayesian tests substantially favoured the null hypothesis.""",,1,1,1,0,1,0:10:00,Very difficult to capture the first hypothesis and the complete evaluation of the first hypothesis.,0,,,,,,,,,,,,,,,"Agreed to use AS' coding (no replication -- contains replication, but not first hypothesis)",1,0,"Part of the study 'replicates' previous work, but not the first hypothesis/'aim'",1,1,,0,0
14,1,,1,no support,0,0,,"""Here we pre-registered a two-study design to examine whether women’s intergroup dating bias, manipulated via nationality to control for racial stereotypes, could be altered by manipulating the formidability of outgroup dating targets, thereby ameliorating or exacerbating their perceived threat""","""The design did not produce the predicted pattern of intergroup bias""",0,0,Paywall,10.1080/23743603.2018.1436939,An evolutionary perspective on intergroup dating bias,"Brindley, Samantha; McDonald, Melissa M.; Welling, Lisa L. M.; Zeigler-Hill, Virgil",2018,Comprehensive Results in Social Psychology,"© 2018, © 2018 European Association of Social Psychology.Across a diversity of contexts, men tend to exhibit greater intergroup bias than do women. However, in the domain of dating, this trend is reversed, such that women more strongly prefer to date men of their own racial group. Researchers employing an evolutionary perspective suggest that this sex difference can be explained by an evolutionary history in which men and women faced distinct adaptive challenges in their interactions with outgroup men. For women, outgroup men posed a recurrent threat of sexual coercion. Given the importance of reproductive choice in female mating strategies, this may have exerted selection pressure for psychological mechanisms that promote avoidance of outgroup men. Here we pre-registered a two-study design to examine whether women’s intergroup dating bias, manipulated via nationality to control for racial stereotypes, could be altered by manipulating the formidability of outgroup dating targets, thereby ameliorating or exacerbating their perceived threat. The design did not produce the predicted pattern of intergroup bias, suggesting that the manipulation of group status may need to be stronger. Implications and future directions are discussed.","dating, female preferences, Intergroup bias, mate choice, threat-management",1,,0,1,no support,no support,3,"""Here we pre-registered a two-study design to examine whether women’s intergroup dating bias, manipulated via nationality to control for racial stereotypes, could be altered by manipulating the formidability of outgroup dating targets, thereby ameliorating or exacerbating their perceived threat""",to examine whether,,"""The design did not produce the predicted pattern of intergroup bias""",0,0,0,0,1,0:05:00,"paper describes two studies, but does not explicitly state the hypotheses of these studies. It is however clearly stated that their design did not produce the predicted pattern. Therefore this paper is classified as having ""no support"". It might be useful to track down a copy of the full paper to find the exact first hypothesis.",0,,,,,,,,,,,,,,,,1,0,,0,,,0,0
18,1,,1,no support,0,0,,"""For Study 1, we predicted that participants reading about academic (vs. social) behaviors would show a better anagram performance""","""In contrast to the construal-level hypothesis, the mind-set manipulation did not affect goal contagion in Study 1. """,0,0,221,10.1080/23743603.2017.1288877,The effect of psychological distance on automatic goal contagion,"Wessler, Janet; Hansen, Jochim",2016,Comprehensive Results in Social Psychology,"© 2017, © 2017 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group. We investigated how psychological distance influences goal contagion (the extent to which people automatically adopt another person’s goals). On the basis of construal-level theory, we predicted people would be more prone to goal contagion when primed with psychological distance (vs. closeness) because they would construe the other person’s behavior in terms of its underlying goal. Alternatively, we predicted people primed with psychological closeness (vs. distance) would be more prone to goal contagion because closeness may increase the personal relevance of another’s goals–a process not mediated by construal level. In two preregistered studies, participants read about a student whose behavior implied either an academic or a social goal. We manipulated (a) participants’ level of mental construal with a mind-set task (Study 1) and (b) their social distance from another person who showed academic or social behaviors (Study 2). We measured performance on an anagram task as an indicator of academic goal contagion. For Study 1, we predicted that participants reading about academic (vs. social) behaviors would show a better anagram performance, especially when primed with an abstract mind-set. For Study 2, we predicted that construal level and relevance effects might cancel each other out, because distance triggers both high-level construal and less relevance. In contrast to the construal-level hypothesis, the mind-set manipulation did not affect goal contagion in Study 1. In accordance with the relevance hypothesis, psychological proximity increased goal contagion in Study 2. We discuss how the findings relate to previous findings on goal contagion and imitation.","action identification, Construal-level theory, goal contagion, motivation, psychological distance",0,"From RR pilot; [is replication, is original work and from full text] variables updated on 13-01-19",0,1,no support,no support,,"""For Study 1, we predicted that participants reading about academic (vs. social) behaviors would show a better anagram performance""",we predicted,"""In contrast to the construal-level hypothesis, the mind-set manipulation did not affect goal contagion in Study 1. """,,0,0,1,0,1,0:04:19,"Link contains the fully updated paper. Full text is available. The study does not mention hypotheses, only predictions. The first prediction that was tested was coded.",1,no support,no support,,"For Study 1, we predicted that participants reading about academic (vs. social) behaviors would show a better anagram performance, especially when primed with an abstract mind-set.",we predicted,,"In contrast to the construal-level hypothesis, the mind-set manipulation did not affect goal contagion in Study 1.",0,0,1,0,1,0:03:30,,,1,0,,0,,,0,0
24,1,,1,no support,0,0,,"""we hypothesize that:
 
 Hypothesis 1 (H1):
 Interactivity will lead to a higher percentage donated.""","""Hypotheses were tested using the estimated model (Figure 3). Our first hypothesis predicted that interactivity would lead to a higher percentage donated. This was not supported (β = .02, b = 0.01, SE = 0.03, p = .696).""",1,1,634,10.1027/1864-1105/a000211,Interactive Narratives Affecting Social Change: A Closer Look at the Relationship Between Interactivity and Prosocial Behavior,"Steinemann, Sharon T.; Iten, Glena H.; Opwis, Klaus; Forde, Seamus F.; Frasseck, Lars; Mekler, Elisa D.",2017,Journal of Media Psychology,"© 2017 Hogrefe Publishing.Interactive narratives offer interesting opportunities for the study of the impact of media on behavior. A growing amount of research on games advocating social change, including those focusing on interactive narratives, has highlighted their potential for attitudinal and behavioral impact. In this study, we examine the relationship between interactivity and prosocial behavior, as well as potential underlying processes. A yoked study design with 634 participants compared an interactive with a noninteractive narrative. Structural equation modeling revealed no significant differences in prosocial behavior between the interactive and noninteractive condition. However, support for the importance of appreciation for and engagement with a narrative on subsequent prosocial behavior was observed. In summary, while results shed light on processes underlying the relationship between both noninteractive and interactive narratives and prosocial behavior, they also highlight interactivity as a multifaceted concept worth examining in further detail.","Appreciation, Games for change, Interactive narrative, Prosocial behavior, Yoked design",1,,0,1,no support,no support,5,"""we hypothesize that:
 
 Hypothesis 1 (H1):
 Interactivity will lead to a higher percentage donated.""",we hypothesize,,"""Hypotheses were tested using the estimated model (Figure 3). Our first hypothesis predicted that interactivity would lead to a higher percentage donated. This was not supported (β = .02, b = 0.01, SE = 0.03, p = .696).""",1,1,1,0,1,0:04:00,,0,,,,,,,,,,,,,,,,1,0,,0,,,0,0
36,1,,1,no support,0,0,,"""We hypothesized that the effect of 2nd language subtitles on learning outcomes depends on the language proficiency of the student, as well as the visual-textual information complexity of the video.""","""This three-way interaction was tested in an experimental study. No main effect of subtitles was found, nor any interaction. However, the student’s language proficiency and the complexity of the video do have a substantial impact on learning outcomes.""",0,0,125,10.1027/1864-1105/a000208,"Effects of Subtitles, Complexity, and Language Proficiency on Learning From Online Education Videos","van der Zee, Tim; Admiraal, Wilfried; Paas, Fred; Saab, Nadira; Giesbers, Bas",2017,Journal of Media Psychology,"© 2017 Hogrefe Publishing. Open online education has become increasingly popular. In Massive Open Online Courses (MOOCs) videos are generally the most used method of teaching. While most MOOCs are offered in English, the global availability of these courses has attracted many non-native English speakers. To ensure not only the availability, but also the accessibility of open online education, courses should be designed to minimize detrimental effects of a language barrier, for example by providing subtitles. However, with many conflicting research findings it is unclear whether subtitles are beneficial or detrimental for learning from a video, and whether this depends on characteristics of the learner and the video. We hypothesized that the effect of 2nd language subtitles on learning outcomes depends on the language proficiency of the student, as well as the visual-textual information complexity of the video. This three-way interaction was tested in an experimental study. No main effect of subtitles was found, nor any interaction. However, the student's language proficiency and the complexity of the video do have a substantial impact on learning outcomes.","MOOCs, Multimedia, Online education, Subtitles, Video",1,,0,1,no support,no support,4,"""We hypothesized that the effect of 2nd language subtitles on learning outcomes depends on the language proficiency of the student, as well as the visual-textual information complexity of the video.""",we hypothesized,"""This three-way interaction was tested in an experimental study. No main effect of subtitles was found, nor any interaction. However, the student’s language proficiency and the complexity of the video do have a substantial impact on learning outcomes.""",,0,0,1,0,1,0:03:00,,0,,,,,,,,,,,,,,,,1,0,,0,,,0,0
